client_id,round_number,hierarchy,num_samples,set,accuracy,loss
f0840_37,0,,239,test,0.0,4.127437114715576
f0971_24,0,,333,test,0.0,4.127004027366638
f1101_38,0,,233,test,0.0,4.139310836791992
f1199_24,0,,280,test,0.0,4.1261725425720215
f1408_02,0,,271,test,0.0,4.134906609853108
f1461_46,0,,230,test,0.0,4.126913229624431
f1539_20,0,,176,test,0.0,4.12591814994812
f1704_29,0,,176,test,0.0,4.140357255935669
f1837_00,0,,124,test,0.0,4.121264934539795
f1986_20,0,,30,test,0.0,4.098155975341797
f2097_31,0,,92,test,0.0,4.147408962249756
f2194_63,0,,124,test,0.0,4.118826389312744
f2304_67,0,,152,test,0.0,4.151656627655029
f2446_88,0,,180,test,0.0,4.1227805614471436
f3116_03,0,,163,test,0.0,4.139816045761108
f3221_05,0,,169,test,0.0,4.1423256397247314
f3317_25,0,,156,test,0.0,4.129454851150513
f3517_27,0,,167,test,0.0,4.122623443603516
f3626_35,0,,145,test,0.0,4.133458137512207
f3714_05,0,,169,test,0.0,4.10988712310791
f3818_27,0,,175,test,0.0,4.128301620483398
f3961_03,0,,169,test,0.0,4.1370649337768555
f0036_39,0,,385,test,0.0,4.134233713150024
f0207_46,0,,392,test,0.0,4.12200403213501
f0331_41,0,,118,test,0.0,4.1365838050842285
f0413_09,0,,364,test,0.0,4.123711109161377
f0637_21,0,,296,test,0.0,4.142653147379558
f0760_23,0,,221,test,0.0,4.141220569610596
f0797_22,0,,340,test,0.0,4.124438166618347
f0900_42,0,,252,test,0.0,4.129319032033284
f1064_32,0,,100,test,0.0,4.1250319480896
f1174_47,0,,241,test,0.0,4.137430349985759
f1357_25,0,,327,test,0.0,4.133764386177063
f1444_03,0,,340,test,0.0,4.124928712844849
f1519_36,0,,168,test,0.0,4.127925872802734
f1645_35,0,,82,test,0.0,4.13432502746582
f1822_45,0,,165,test,0.0,4.120382070541382
f1946_25,0,,148,test,0.0,4.12973165512085
f2082_26,0,,169,test,0.058823529411764705,4.126394510269165
f2182_95,0,,165,test,0.0,4.1418468952178955
f2285_54,0,,170,test,0.0,4.1360085010528564
f2420_84,0,,182,test,0.0,4.142195463180542
f3104_25,0,,168,test,0.0,4.157880783081055
f3165_11,0,,184,test,0.0,4.137080192565918
f3308_03,0,,169,test,0.0,4.132719039916992
f3399_09,0,,27,test,0.0,4.126827239990234
f3599_19,0,,17,test,0.0,4.115993976593018
f3703_10,0,,158,test,0.0,4.1387245655059814
f3773_14,0,,178,test,0.05555555555555555,4.120012044906616
f3887_39,0,,180,test,0.0,4.138098955154419
f4093_35,0,,4,test,0.0,4.129831314086914
f0097_05,0,,356,test,0.0,4.119752526283264
f0280_20,0,,383,test,0.0,4.141609311103821
f0367_33,0,,368,test,0.0,4.128487586975098
f0481_47,0,,406,test,0.0,4.136158466339111
f0706_13,0,,404,test,0.0,4.136776638031006
f0780_06,0,,282,test,0.0,4.126732190450032
f0849_38,0,,345,test,0.0,4.135329365730286
f0998_45,0,,248,test,0.0,4.112639904022217
f1128_24,0,,179,test,0.0,4.145424842834473
f1279_31,0,,272,test,0.0,4.131994565327962
f1416_00,0,,188,test,0.0,4.13498067855835
f1479_40,0,,205,test,0.0,4.15510892868042
f1554_25,0,,160,test,0.0,4.135564565658569
f1750_06,0,,177,test,0.0,4.1348042488098145
f1920_09,0,,164,test,0.0,4.123998641967773
f2039_13,0,,147,test,0.0,4.133920907974243
f2116_72,0,,173,test,0.05555555555555555,4.115731716156006
f2237_82,0,,179,test,0.0,4.138501405715942
f2346_88,0,,169,test,0.0,4.127451658248901
f2483_64,0,,128,test,0.0,4.124537229537964
f3142_38,0,,23,test,0.3333333333333333,4.10093879699707
f3273_45,0,,175,test,0.0,4.144403457641602
f3373_36,0,,178,test,0.0,4.112281322479248
f3559_23,0,,147,test,0.0,4.128202676773071
f3636_24,0,,30,test,0.0,4.115736961364746
