client_id,round_number,hierarchy,num_samples,set,accuracy,loss
f0762_20,0,,352,test,0.0,4.1376858949661255
f0840_37,0,,239,test,0.0,4.127437114715576
f0971_24,0,,333,test,0.0,4.127004027366638
f1101_38,0,,233,test,0.0,4.139310836791992
f1199_24,0,,280,test,0.0,4.1261725425720215
f1408_02,0,,271,test,0.0,4.134906609853108
f1461_46,0,,230,test,0.0,4.126913229624431
f1539_20,0,,176,test,0.0,4.12591814994812
f1704_29,0,,176,test,0.0,4.140357255935669
f1837_00,0,,124,test,0.0,4.121264934539795
f1986_20,0,,30,test,0.0,4.098155975341797
f2097_31,0,,92,test,0.0,4.147408962249756
f2194_63,0,,124,test,0.0,4.118826389312744
f2304_67,0,,152,test,0.0,4.151656627655029
f2446_88,0,,180,test,0.0,4.1227805614471436
f3116_03,0,,163,test,0.0,4.139816045761108
f3221_05,0,,169,test,0.0,4.1423256397247314
f3317_25,0,,156,test,0.0,4.129454851150513
f3517_27,0,,167,test,0.0,4.122623443603516
f3626_35,0,,145,test,0.0,4.133458137512207
f3714_05,0,,169,test,0.0,4.10988712310791
f3818_27,0,,175,test,0.0,4.128301620483398
f3961_03,0,,169,test,0.0,4.1370649337768555
f0097_05,0,,356,test,0.0,4.119752526283264
f0280_20,0,,383,test,0.0,4.141609311103821
f0367_33,0,,368,test,0.0,4.128487586975098
f0481_47,0,,406,test,0.0,4.136158466339111
f0706_13,0,,404,test,0.0,4.136776638031006
f0780_06,0,,282,test,0.0,4.126732190450032
f0849_38,0,,345,test,0.0,4.135329365730286
f0998_45,0,,248,test,0.0,4.112639904022217
f1128_24,0,,179,test,0.0,4.145424842834473
f1279_31,0,,272,test,0.0,4.131994565327962
f1416_00,0,,188,test,0.0,4.13498067855835
f1479_40,0,,205,test,0.0,4.15510892868042
f1554_25,0,,160,test,0.0,4.135564565658569
f1750_06,0,,177,test,0.0,4.1348042488098145
f1920_09,0,,164,test,0.0,4.123998641967773
f2039_13,0,,147,test,0.0,4.133920907974243
f2116_72,0,,173,test,0.05555555555555555,4.115731716156006
f2237_82,0,,179,test,0.0,4.138501405715942
f2346_88,0,,169,test,0.0,4.127451658248901
f2483_64,0,,128,test,0.0,4.124537229537964
f3142_38,0,,23,test,0.3333333333333333,4.10093879699707
f3273_45,0,,175,test,0.0,4.144403457641602
f3373_36,0,,178,test,0.0,4.112281322479248
f3559_23,0,,147,test,0.0,4.128202676773071
f3636_24,0,,30,test,0.0,4.115736961364746
f3739_34,0,,161,test,0.0,4.129238128662109
f3840_05,0,,181,test,0.0,4.126990556716919
f4041_39,0,,181,test,0.05263157894736842,4.122138977050781
f0083_09,0,,321,test,0.0,4.131003975868225
f0258_41,0,,395,test,0.0,4.131454706192017
f0366_08,0,,347,test,0.0,4.132189989089966
f0471_15,0,,332,test,0.0,4.140050530433655
f0692_03,0,,244,test,0.0,4.132989883422852
f0763_30,0,,366,test,0.0,4.122603893280029
f0846_32,0,,308,test,0.0,4.122221350669861
f0987_34,0,,287,test,0.0,4.115206241607666
f1107_44,0,,246,test,0.04,4.133551438649495
f1251_10,0,,260,test,0.0,4.116473197937012
f1414_16,0,,267,test,0.0,4.150533835093181
f1474_13,0,,258,test,0.0,4.140088717142741
f1548_21,0,,109,test,0.0,4.133241415023804
f1749_23,0,,87,test,0.0,4.1613993644714355
f1867_44,0,,140,test,0.0,4.152997016906738
f1988_11,0,,155,test,0.0,4.127636432647705
f2107_53,0,,162,test,0.0,4.120931625366211
f2224_82,0,,181,test,0.0,4.139280319213867
f2312_87,0,,159,test,0.0,4.133723735809326
f2458_53,0,,178,test,0.0,4.120092868804932
f3117_11,0,,182,test,0.0,4.115198135375977
f3245_09,0,,147,test,0.0,4.124788761138916
f3327_11,0,,183,test,0.0,4.133980989456177
f3546_36,0,,25,test,0.0,4.100697994232178
f3629_19,0,,173,test,0.0,4.129639625549316
